results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
17,36,4.41,"Pulaski County, KY",21199,8.30245,609,73.3518419261784,8.2
50,127,4.41,"Vermillion County, IN",18165,8.30245,657,79.1332678908033,8.2
50,171,4.43,"Marion County, KY",21155,8.37135,698,83.3796221636893,8.2
50,170,4.44,"Montgomery County, IN",18107,8.4058,722,85.8930738299745,8.2
7,17,4.43,"Lauderdale County, MS",28075,8.37135,757,90.4274698823965,8.2
50,124,4.43,"Howard County, IN",18067,8.37135,863,103.089704766854,8.2
50,146,4.45,"Essex County, VA",51057,8.44025,905,107.224312076064,8.2
50,324,4.45,"Maury County, TN",47119,8.44025,942,111.608068481384,8.2
50,118,4.46,"Franklin County, IN",18047,8.4747,1005,118.588268611278,8.2
12,14,4.54,"Okanogan County, WA",53047,8.7503,1295,147.994925888255,8.2
50,145,4.54,"Hocking County, OH",39073,8.7503,1297,148.223489480361,8.2
25,183,4.56,"Chippewa County, MI",26033,8.8192,1360,154.208998548621,8.2
50,192,4.57,"Fayette County, OH",39047,8.85365,1361,153.721911302118,8.2
50,205,4.58,"Marion County, IN",18097,8.8881,1375,154.701229734139,8.2
18,21,4.36,"Holmes County, MS",28051,8.1302,399,49.0762834862611,8.1
50,142,4.36,"Kershaw County, SC",45055,8.1302,537,66.0500356694792,8.1
50,193,4.39,"Graham County, NC",37075,8.23355,580,70.4434903534927,8.1
14,59,4.39,"Russell County, KY",21207,8.23355,582,70.6863989409186,8.1
50,286,4.37,"Hickman County, TN",47081,8.16465,631,77.2843906352385,8.1
50,149,4.39,"Mason County, KY",21161,8.23355,684,83.0747368996363,8.1
50,196,4.39,"Charlton County, GA",13049,8.23355,724,87.932908648153,8.1
50,85,4.4,"Jennings County, IN",18079,8.268,727,87.929366231253,8.1
50,166,4.39,"Pendleton County, KY",21191,8.23355,787,95.5845291520669,8.1
50,131,4.39,"Clinton County, IN",18023,8.23355,805,97.7707064388994,8.1
11,23,4.41,"Murray County, MN",27101,8.30245,816,98.2842413986233,8.1
37,76,4.43,"Vinton County, OH",39163,8.37135,918,109.659732301242,8.1
7,66,4.43,"Grand County, UT",49019,8.37135,919,109.779187347322,8.1
50,95,4.43,"Madison County, TX",48313,8.37135,931,111.212647900279,8.1
